window_id,mae_naive,mae_xgb,cutoff_end_date
2007-07-09__2009-06-29,0.12749999999999984,0.0435225043296813,2009-06-29
2022-04-25__2024-04-15,0.02650000000000008,0.04331798696517963,2024-04-15
2022-07-18__2024-07-08,0.03850000000000009,0.043117731094360345,2024-07-08
2012-02-13__2014-02-03,0.15650000000000008,0.0426957402229311,2014-02-03
2019-06-24__2021-06-14,0.05774999999999997,0.042486608028411865,2021-06-14
2005-06-13__2007-06-04,0.1707500000000003,0.04245187282562257,2007-06-04
2007-06-11__2009-06-01,0.13449999999999984,0.04244796133041384,2009-06-01
2007-12-24__2009-12-14,0.08925000000000016,0.0422177619934081,2009-12-14
2012-07-30__2014-07-21,0.10649999999999982,0.04174986886978149,2014-07-21
2013-03-11__2015-03-02,0.029750000000000054,0.041693533897399826,2015-03-02
2002-12-02__2004-11-22,0.10499999999999998,0.04129614877700799,2004-11-22
1999-01-04__2000-12-25,0.0442499999999999,0.04126038956642153,2000-12-25
1999-10-11__2001-10-01,0.15900000000000009,0.04083049678802497,2001-10-01
1999-09-13__2001-09-03,0.09549999999999992,0.04056251430511476,2001-09-03
2010-09-27__2012-09-17,0.08350000000000002,0.04014126300811749,2012-09-17
2017-05-01__2019-04-22,0.028750000000000053,0.03904485845565797,2019-04-22
2015-10-19__2017-10-09,0.04575000000000007,0.038550475120544436,2017-10-09
2016-01-11__2018-01-01,0.07125000000000004,0.038523032188415685,2018-01-01
1998-04-27__2000-04-17,0.03975000000000001,0.0380744829177857,2000-04-17
2014-09-22__2016-09-12,0.04899999999999993,0.03798678779602038,2016-09-12
2003-04-21__2005-04-11,0.0727500000000002,0.03773301076889035,2005-04-11
2019-05-27__2021-05-17,0.022250000000000214,0.037109407424926744,2021-05-17
2015-06-01__2017-05-22,0.05724999999999991,0.03687700843811048,2017-05-22
2007-09-03__2009-08-24,0.07324999999999993,0.036791071891784544,2009-08-24
1999-08-16__2001-08-06,0.11374999999999996,0.0366994516849517,2001-08-06
2017-12-11__2019-12-02,0.024249999999999883,0.03668104410171513,2019-12-02
2023-01-02__2024-12-23,0.05125000000000013,0.03646019649505605,2024-12-23
2022-09-12__2024-09-02,0.11575000000000013,0.036437469005584755,2024-09-02
2009-10-26__2011-10-17,0.0542499999999998,0.036380875110626154,2011-10-17
2023-10-09__2025-09-29,0.08325000000000027,0.0363267288208009,2025-09-29
2007-01-22__2009-01-12,0.122,0.036307377338409386,2009-01-12
2003-07-14__2005-07-04,0.09150000000000025,0.03616780090332028,2005-07-04
2009-09-28__2011-09-19,0.15175000000000005,0.036063363552093386,2011-09-19
2001-12-31__2003-12-22,0.08599999999999997,0.03563627648353562,2003-12-22
2023-06-19__2025-06-09,0.04775000000000007,0.03547302961349508,2025-06-09
2007-08-06__2009-07-27,0.128,0.035050370693206934,2009-07-27
2002-06-17__2004-06-07,0.1140000000000001,0.034678141117095995,2004-06-07
2014-05-05__2016-04-25,0.11324999999999996,0.034558913230896104,2016-04-25
2019-08-19__2021-08-09,0.0172500000000001,0.03425250768661503,2021-08-09
2011-08-01__2013-07-22,0.10624999999999984,0.03356289768219001,2013-07-22
2019-09-16__2021-09-06,0.026999999999999913,0.033432756900787286,2021-09-06
1998-03-02__2000-02-21,0.1127499999999999,0.033249169588088934,2000-02-21
1997-01-06__1998-12-28,0.004750000000000004,0.03314664006233217,1998-12-28
2018-10-15__2020-10-05,0.045499999999999874,0.032963975429534775,2020-10-05
2015-11-16__2017-11-06,0.04074999999999995,0.03281617784500135,2017-11-06
2011-05-09__2013-04-29,0.1137499999999999,0.0327044792175295,2013-04-29
2002-05-20__2004-05-10,0.09599999999999997,0.03243607473373411,2004-05-10
2023-11-06__2025-10-27,0.030749999999999833,0.03224725151061991,2025-10-27
2022-03-28__2024-03-18,0.15350000000000008,0.03224638462066631,2024-03-18
2002-09-09__2004-08-30,0.03550000000000003,0.032241477489471426,2004-08-30
1994-04-04__1996-03-25,0.07850000000000001,0.032216657161712625,1996-03-25
1999-11-08__2001-10-29,0.08974999999999994,0.03221626901626584,2001-10-29
1995-12-11__1997-12-01,0.034750000000000114,0.032127839565277205,1997-12-01
2002-08-12__2004-08-02,0.018749999999999933,0.032123831748962384,2004-08-02
2007-02-19__2009-02-09,0.013500000000000012,0.031852031707763684,2009-02-09
2021-04-26__2023-04-17,0.10725000000000018,0.03159911251068104,2023-04-17
2000-06-19__2002-06-10,0.01200000000000001,0.031187126874923754,2002-06-10
2018-02-05__2020-01-27,0.07050000000000023,0.03110710668563843,2020-01-27
2017-02-06__2019-01-28,0.09050000000000002,0.031078663349151325,2019-01-28
2001-05-21__2003-05-12,0.013500000000000012,0.030994861364364634,2003-05-12
1998-03-30__2000-03-20,0.06324999999999997,0.030868619203567482,2000-03-20
2013-07-01__2015-06-22,0.028000000000000025,0.030687981128692532,2015-06-22
2019-03-04__2021-02-22,0.20599999999999996,0.030501081943512198,2021-02-22
2015-06-29__2017-06-19,0.031749999999999834,0.029897032737732143,2017-06-19
2003-12-01__2005-11-21,0.02224999999999988,0.029640645027160795,2005-11-21
1999-12-06__2001-11-26,0.04624999999999996,0.02924554038047794,2001-11-26
2001-07-16__2003-07-07,0.047750000000000015,0.02920940780639658,2003-07-07
2002-12-30__2004-12-20,0.024499999999999966,0.029162513732910122,2004-12-20
