window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1997-12-08__1999-11-29,1997-12-08,1999-11-29,1999-12-06,1999-12-27,XGBoost (direct multi-horizon),0.027582544326782255,0.029565455553736558,2.126780508513745,-0.027582544326782255
1998-01-05__1999-12-27,1998-01-05,1999-12-27,2000-01-03,2000-01-24,Naive (recursive),0.023749999999999993,0.029141894241795595,1.7846764462643838,-0.01874999999999999
1998-01-05__1999-12-27,1998-01-05,1999-12-27,2000-01-03,2000-01-24,XGBoost (direct multi-horizon),0.08702588820457463,0.09250260324090069,6.737921076342069,-0.08702588820457463
1998-02-02__2000-01-24,1998-02-02,2000-01-24,2000-01-31,2000-02-21,Naive (recursive),0.060749999999999915,0.07147901790036003,4.351968816567482,-0.060749999999999915
1998-02-02__2000-01-24,1998-02-02,2000-01-24,2000-01-31,2000-02-21,XGBoost (direct multi-horizon),0.16584943747520448,0.17480242231030485,12.422163181054929,-0.16584943747520448
1998-03-02__2000-02-21,1998-03-02,2000-02-21,2000-02-28,2000-03-20,Naive (recursive),0.1127499999999999,0.11342067712723276,7.516550182968672,-0.1127499999999999
1998-03-02__2000-02-21,1998-03-02,2000-02-21,2000-02-28,2000-03-20,XGBoost (direct multi-horizon),0.2923696513175964,0.29325303418357423,20.740972629706203,-0.2923696513175964
1998-03-30__2000-03-20,1998-03-30,2000-03-20,2000-03-27,2000-04-17,Naive (recursive),0.06324999999999997,0.0682916539556628,4.12843380309317,0.06324999999999997
1998-03-30__2000-03-20,1998-03-30,2000-03-20,2000-03-27,2000-04-17,XGBoost (direct multi-horizon),0.17463746619224546,0.17954148203575598,12.314789302452194,-0.17463746619224546
1998-04-27__2000-04-17,1998-04-27,2000-04-17,2000-04-24,2000-05-15,Naive (recursive),0.03975000000000001,0.047778133073614344,2.631506155037767,-0.027250000000000052
1998-04-27__2000-04-17,1998-04-27,2000-04-17,2000-04-24,2000-05-15,XGBoost (direct multi-horizon),0.0665495462417603,0.07138887887176552,4.5076783283867785,-0.0665495462417603
1998-05-25__2000-05-15,1998-05-25,2000-05-15,2000-05-22,2000-06-12,Naive (recursive),0.10725000000000007,0.11939116382714433,6.715407470621876,-0.10725000000000007
1998-05-25__2000-05-15,1998-05-25,2000-05-15,2000-05-22,2000-06-12,XGBoost (direct multi-horizon),0.15898562145233153,0.17715878189964201,10.167896196284893,-0.15898562145233153
1998-06-22__2000-06-12,1998-06-22,2000-06-12,2000-06-19,2000-07-10,Naive (recursive),0.035499999999999976,0.04465982534672518,2.163587143052198,0.02199999999999991
1998-06-22__2000-06-12,1998-06-22,2000-06-12,2000-06-19,2000-07-10,XGBoost (direct multi-horizon),0.1254442734718323,0.12638090970530183,7.935531959915651,-0.1254442734718323
1998-07-20__2000-07-10,1998-07-20,2000-07-10,2000-07-17,2000-08-07,Naive (recursive),0.11274999999999985,0.11601400777492331,7.180497068288464,0.11274999999999985
1998-07-20__2000-07-10,1998-07-20,2000-07-10,2000-07-17,2000-08-07,XGBoost (direct multi-horizon),0.03663657093048095,0.053796534310826795,2.38143430960785,0.01495194578170772
1998-08-17__2000-08-07,1998-08-17,2000-08-07,2000-08-14,2000-09-04,Naive (recursive),0.04475000000000001,0.05752608104155892,2.904210979772371,-0.04475000000000001
1998-08-17__2000-08-07,1998-08-17,2000-08-07,2000-08-14,2000-09-04,XGBoost (direct multi-horizon),0.10735420703887938,0.12176411399944516,6.7154932789772275,0.10735420703887938
1998-09-14__2000-09-04,1998-09-14,2000-09-04,2000-09-11,2000-10-02,Naive (recursive),0.020250000000000046,0.022577643809751295,1.2888440173878892,-0.0042499999999999205
1998-09-14__2000-09-04,1998-09-14,2000-09-04,2000-09-11,2000-10-02,XGBoost (direct multi-horizon),0.09011376762390139,0.09065282247717785,5.570104175585796,0.09011376762390139
1998-10-12__2000-10-02,1998-10-12,2000-10-02,2000-10-09,2000-10-30,Naive (recursive),0.015750000000000097,0.017993054215446693,1.0010973256416609,-0.015750000000000097
1998-10-12__2000-10-02,1998-10-12,2000-10-02,2000-10-09,2000-10-30,XGBoost (direct multi-horizon),0.05451078653335567,0.06180176267902708,3.3773939089002702,0.05451078653335567
1998-11-09__2000-10-30,1998-11-09,2000-10-30,2000-11-06,2000-11-27,Naive (recursive),0.03725000000000006,0.03946200704475135,2.383134073735391,0.03725000000000006
1998-11-09__2000-10-30,1998-11-09,2000-10-30,2000-11-06,2000-11-27,XGBoost (direct multi-horizon),0.02448283720016481,0.031107292380921227,1.5734812195812347,0.020342537879943834
1998-12-07__2000-11-27,1998-12-07,2000-11-27,2000-12-04,2000-12-25,Naive (recursive),0.08624999999999994,0.08785641695402784,5.733883405461623,0.08624999999999994
1998-12-07__2000-11-27,1998-12-07,2000-11-27,2000-12-04,2000-12-25,XGBoost (direct multi-horizon),0.11000557518005372,0.11587648663111157,7.2453553232111805,0.11000557518005372
1999-01-04__2000-12-25,1999-01-04,2000-12-25,2001-01-01,2001-01-22,Naive (recursive),0.0442499999999999,0.048262304130656554,2.9912919758524477,-0.0442499999999999
1999-01-04__2000-12-25,1999-01-04,2000-12-25,2001-01-01,2001-01-22,XGBoost (direct multi-horizon),0.026710942268371562,0.034062805570541775,1.7567453041821575,0.024767717361450226
1999-02-01__2001-01-22,1999-02-01,2001-01-22,2001-01-29,2001-02-19,Naive (recursive),0.023499999999999854,0.02685144316419494,1.5710532018816663,0.021499999999999853
1999-02-01__2001-01-22,1999-02-01,2001-01-22,2001-01-29,2001-02-19,XGBoost (direct multi-horizon),0.0918042819499969,0.10052859637855799,5.959322377763846,0.0918042819499969
1999-03-01__2001-02-19,1999-03-01,2001-02-19,2001-02-26,2001-03-19,Naive (recursive),0.03925000000000006,0.039626380102149195,2.6719002016073685,0.03925000000000006
1999-03-01__2001-02-19,1999-03-01,2001-02-19,2001-02-26,2001-03-19,XGBoost (direct multi-horizon),0.06435442590713497,0.06933003904867241,4.333495764701381,0.06435442590713497
1999-03-29__2001-03-19,1999-03-29,2001-03-19,2001-03-26,2001-04-16,Naive (recursive),0.12850000000000006,0.144924118075633,8.425064446528086,-0.12850000000000006
